Device: cuda
Vocabulary size: 125 | PAD index: 0
Training data: 1754281 sequences x 100 steps
Trainable parameters: 21636221
Batch size: 128 | batches per epoch: 13705 | epochs: 15
  epoch 2/15 | batch 10500/13705 | loss 0.3964 | avg 0.4006
  epoch 2/15 | batch 10600/13705 | loss 0.3874 | avg 0.4005
  epoch 2/15 | batch 10700/13705 | loss 0.3824 | avg 0.4004
  epoch 2/15 | batch 10800/13705 | loss 0.4067 | avg 0.4004
  epoch 2/15 | batch 10900/13705 | loss 0.3812 | avg 0.4003
  epoch 2/15 | batch 11000/13705 | loss 0.3957 | avg 0.4002
  epoch 2/15 | batch 11100/13705 | loss 0.3913 | avg 0.4001
  epoch 2/15 | batch 11200/13705 | loss 0.4144 | avg 0.4000
  epoch 2/15 | batch 11300/13705 | loss 0.3844 | avg 0.3999
  epoch 2/15 | batch 11400/13705 | loss 0.3993 | avg 0.3999
  epoch 2/15 | batch 11500/13705 | loss 0.4039 | avg 0.3998
  epoch 2/15 | batch 11600/13705 | loss 0.3793 | avg 0.3997
  epoch 2/15 | batch 11700/13705 | loss 0.3873 | avg 0.3996
  epoch 2/15 | batch 11800/13705 | loss 0.4005 | avg 0.3995
  epoch 2/15 | batch 11900/13705 | loss 0.3918 | avg 0.3994
  epoch 2/15 | batch 12000/13705 | loss 0.4022 | avg 0.3993
  epoch 2/15 | batch 12100/13705 | loss 0.3785 | avg 0.3992
  epoch 2/15 | batch 12200/13705 | loss 0.3846 | avg 0.3992
  epoch 2/15 | batch 12300/13705 | loss 0.4004 | avg 0.3991
  epoch 2/15 | batch 12400/13705 | loss 0.3827 | avg 0.3990
  epoch 2/15 | batch 12500/13705 | loss 0.3854 | avg 0.3989
  epoch 2/15 | batch 12600/13705 | loss 0.3974 | avg 0.3988
  epoch 2/15 | batch 12700/13705 | loss 0.4009 | avg 0.3988
  epoch 2/15 | batch 12800/13705 | loss 0.4049 | avg 0.3987
  epoch 2/15 | batch 12900/13705 | loss 0.3886 | avg 0.3986
  epoch 2/15 | batch 13000/13705 | loss 0.3945 | avg 0.3985
  epoch 2/15 | batch 13100/13705 | loss 0.3910 | avg 0.3984
  epoch 2/15 | batch 13200/13705 | loss 0.3838 | avg 0.3983
  epoch 2/15 | batch 13300/13705 | loss 0.3908 | avg 0.3982
  epoch 2/15 | batch 13400/13705 | loss 0.3712 | avg 0.3981
  epoch 2/15 | batch 13500/13705 | loss 0.3726 | avg 0.3981
  epoch 2/15 | batch 13600/13705 | loss 0.3808 | avg 0.3980
  epoch 2/15 | batch 13700/13705 | loss 0.3781 | avg 0.3979
Epoch 2/15 | average loss 0.3979
  epoch 3/15 | batch 100/13705 | loss 0.4003 | avg 0.3837
  epoch 3/15 | batch 200/13705 | loss 0.3864 | avg 0.3835
  epoch 3/15 | batch 300/13705 | loss 0.3910 | avg 0.3837
  epoch 3/15 | batch 400/13705 | loss 0.4111 | avg 0.3839
  epoch 3/15 | batch 500/13705 | loss 0.3891 | avg 0.3841
  epoch 3/15 | batch 600/13705 | loss 0.3723 | avg 0.3839
  epoch 3/15 | batch 700/13705 | loss 0.3916 | avg 0.3839
  epoch 3/15 | batch 800/13705 | loss 0.3855 | avg 0.3839
  epoch 3/15 | batch 900/13705 | loss 0.3671 | avg 0.3838
  epoch 3/15 | batch 1000/13705 | loss 0.3809 | avg 0.3837
  epoch 3/15 | batch 1100/13705 | loss 0.3946 | avg 0.3836
  epoch 3/15 | batch 1200/13705 | loss 0.3914 | avg 0.3838
  epoch 3/15 | batch 1300/13705 | loss 0.4002 | avg 0.3838
  epoch 3/15 | batch 1400/13705 | loss 0.3823 | avg 0.3837
  epoch 3/15 | batch 1500/13705 | loss 0.3819 | avg 0.3837
  epoch 3/15 | batch 1600/13705 | loss 0.3915 | avg 0.3837
  epoch 3/15 | batch 1700/13705 | loss 0.3810 | avg 0.3836
  epoch 3/15 | batch 1800/13705 | loss 0.3984 | avg 0.3836
  epoch 3/15 | batch 1900/13705 | loss 0.3945 | avg 0.3837
  epoch 3/15 | batch 2000/13705 | loss 0.3974 | avg 0.3837
  epoch 3/15 | batch 2100/13705 | loss 0.3705 | avg 0.3837
  epoch 3/15 | batch 2200/13705 | loss 0.3978 | avg 0.3837
  epoch 3/15 | batch 2300/13705 | loss 0.3815 | avg 0.3836
  epoch 3/15 | batch 2400/13705 | loss 0.3726 | avg 0.3836
  epoch 3/15 | batch 2500/13705 | loss 0.3715 | avg 0.3835
  epoch 3/15 | batch 2600/13705 | loss 0.3966 | avg 0.3835
  epoch 3/15 | batch 2700/13705 | loss 0.3828 | avg 0.3834
  epoch 3/15 | batch 2800/13705 | loss 0.3876 | avg 0.3833
  epoch 3/15 | batch 2900/13705 | loss 0.3999 | avg 0.3833
  epoch 3/15 | batch 3000/13705 | loss 0.3833 | avg 0.3833
  epoch 3/15 | batch 3100/13705 | loss 0.3913 | avg 0.3833
  epoch 3/15 | batch 3200/13705 | loss 0.3807 | avg 0.3832
  epoch 3/15 | batch 3300/13705 | loss 0.4041 | avg 0.3832
  epoch 3/15 | batch 3400/13705 | loss 0.3908 | avg 0.3832
  epoch 3/15 | batch 3500/13705 | loss 0.3726 | avg 0.3831
  epoch 3/15 | batch 3600/13705 | loss 0.3953 | avg 0.3831
  epoch 3/15 | batch 3700/13705 | loss 0.3819 | avg 0.3831
  epoch 3/15 | batch 3800/13705 | loss 0.3812 | avg 0.3830
  epoch 3/15 | batch 3900/13705 | loss 0.3764 | avg 0.3830
  epoch 3/15 | batch 4000/13705 | loss 0.3893 | avg 0.3830
  epoch 3/15 | batch 4100/13705 | loss 0.3860 | avg 0.3830
  epoch 3/15 | batch 4200/13705 | loss 0.3727 | avg 0.3829
  epoch 3/15 | batch 4300/13705 | loss 0.3833 | avg 0.3829
  epoch 3/15 | batch 4400/13705 | loss 0.3932 | avg 0.3828
  epoch 3/15 | batch 4500/13705 | loss 0.3905 | avg 0.3828
  epoch 3/15 | batch 4600/13705 | loss 0.3670 | avg 0.3827
  epoch 3/15 | batch 4700/13705 | loss 0.3765 | avg 0.3827
  epoch 3/15 | batch 4800/13705 | loss 0.3870 | avg 0.3827
  epoch 3/15 | batch 4900/13705 | loss 0.3923 | avg 0.3827
  epoch 3/15 | batch 5000/13705 | loss 0.3789 | avg 0.3826
  epoch 3/15 | batch 5100/13705 | loss 0.4070 | avg 0.3826
  epoch 3/15 | batch 5200/13705 | loss 0.3604 | avg 0.3826
  epoch 3/15 | batch 5300/13705 | loss 0.3767 | avg 0.3826
  epoch 3/15 | batch 5400/13705 | loss 0.3741 | avg 0.3825
  epoch 3/15 | batch 5500/13705 | loss 0.3612 | avg 0.3825
  epoch 3/15 | batch 5600/13705 | loss 0.3908 | avg 0.3825
  epoch 3/15 | batch 5700/13705 | loss 0.3906 | avg 0.3824
